"","id","plot","lat","lon","age","agc_mgha"
"1","LIT_1",1785,43.616667,142.083333,9,8.695
"2","LIT_2",1785,43.616667,142.083333,10,10.716
"3","LIT_3",1785,43.616667,142.083333,12,14.946
"4","LIT_4",1785,43.616667,142.083333,11,12.408
"5","LIT_5",1786,43.616667,142.083333,16,25.944
"6","LIT_6",1785,43.616667,142.083333,13,16.685
"7","LIT_7",1786,43.616667,142.083333,9,7.097
"8","LIT_8",1786,43.616667,142.083333,14,22.09
"9","LIT_9",1785,43.616667,142.083333,14,20.962
"10","LIT_10",1685,43.616667,142.083333,9,4.653
"11","LIT_11",1786,43.616667,142.083333,15,23.876
"12","LIT_12",1786,43.616667,142.083333,13,17.625
"13","LIT_13",1785,43.616667,142.083333,15,23.077
"14","LIT_14",1785,43.616667,142.083333,16,26.179
"15","LIT_15",1685,43.616667,142.083333,15,13.254
"16","LIT_16",1786,43.616667,142.083333,12,14.899
"17","LIT_17",1786,43.616667,142.083333,11,12.079
"18","LIT_18",1685,43.616667,142.083333,11,6.486
"19","LIT_19",1685,43.616667,142.083333,14,11.703
"20","LIT_20",1685,43.616667,142.083333,12,7.943
"21","LIT_21",1685,43.616667,142.083333,10,5.217
"22","LIT_22",1786,43.616667,142.083333,10,10.105
"23","LIT_23",1685,43.616667,142.083333,13,9.212
"24","LIT_24",1686,43.516667,141.633333,14,18.659
"25","LIT_25",1686,43.516667,141.633333,19,31.349
"26","LIT_26",1686,43.516667,141.633333,11,11.562
"27","LIT_27",1686,43.516667,141.633333,12,14.1
"28","LIT_28",1686,43.516667,141.633333,10,9.165
"29","LIT_29",1686,43.516667,141.633333,15,19.834
"30","LIT_30",1686,43.516667,141.633333,17,25.474
"31","LIT_31",1686,43.516667,141.633333,13,16.638
"32","LIT_32",1686,43.516667,141.633333,18,27.307
"33","LIT_33",1686,43.516667,141.633333,16,23.265
"34","LIT_34",1787,44.35,143.05,26,26.461
"35","LIT_35",1688,44.35,143.05,22,26.179
"36","LIT_36",1688,44.35,143.05,34,51.935
"37","LIT_37",1787,44.35,143.05,20,18.142
"38","LIT_38",1688,44.35,143.05,20,21.291
"39","LIT_39",1787,44.35,143.05,22,19.928
"40","LIT_40",1688,44.35,143.05,32,48.222
"41","LIT_41",1688,44.35,143.05,26,35.391
"42","LIT_42",1787,44.35,143.05,34,39.715
"43","LIT_43",1688,44.35,143.05,28,39.245
"44","LIT_44",1688,44.35,143.05,24,31.02
"45","LIT_45",1787,44.35,143.05,30,33.558
"46","LIT_46",1787,44.35,143.05,28,29.798
"47","LIT_47",1787,44.35,143.05,24,22.936
"48","LIT_48",1688,44.35,143.05,30,44.932
"49","LIT_49",1787,44.35,143.05,32,36.519
"50","LIT_50",1690,43.266667,141.866667,22,25.333
"51","LIT_51",9419,43.266667,141.866667,72,56.494
"52","LIT_52",1690,43.266667,141.866667,26,33.511
"53","LIT_53",1690,43.266667,141.866667,24,29.657
"54","LIT_54",9420,43.266667,141.866667,100,115.385
"55","LIT_55",9420,43.266667,141.866667,94,105.186
"56","LIT_56",9420,43.266667,141.866667,92,103.823
"57","LIT_57",1690,43.266667,141.866667,20,21.385
"58","LIT_58",9418,43.266667,141.866667,70,35.485
"59","LIT_59",9419,43.266667,141.866667,64,47.799
"60","LIT_60",9418,43.266667,141.866667,64,31.584
"61","LIT_61",9419,43.266667,141.866667,62,46.06
"62","LIT_62",9418,43.266667,141.866667,76,40.702
"63","LIT_63",9418,43.266667,141.866667,74,38.728
"64","LIT_64",9418,43.266667,141.866667,62,29.751
"65","LIT_65",9419,43.266667,141.866667,68,52.405
"66","LIT_66",9420,43.266667,141.866667,98,111.155
"67","LIT_67",9418,43.266667,141.866667,68,33.699
"68","LIT_68",9418,43.266667,141.866667,72,36.895
"69","LIT_69",9419,43.266667,141.866667,76,60.724
"70","LIT_70",9419,43.266667,141.866667,66,49.961
"71","LIT_71",9420,43.266667,141.866667,96,111.155
"72","LIT_72",9420,43.266667,141.866667,90,100.439
"73","LIT_73",9419,43.266667,141.866667,70,55.131
"74","LIT_74",9418,43.266667,141.866667,66,31.772
"75","LIT_75",9419,43.266667,141.866667,74,58.468
"80","LIT_80",2748,18.583333,-95.083333,10,0.9
"83","LIT_83",9394,18.583333,-95.083333,0.5,0.9
"87","LIT_87",2751,18.583333,-95.083333,20,120.6
"93","LIT_93",2752,18.583333,-95.083333,26,94.7
"99","LIT_99",9396,18.583333,-95.083333,8,9.9
"101","LIT_101",9395,18.583333,-95.083333,4,18.3
"118","LIT_118",9351,18.583333,-95.083333,50,130.2
