ID,COUNTRY_NAME,ISO_CODE,BIOME_NAME,BIOME_NUM,ECO_NAME,ECO_ID,AREA_HA,ages_1_20_mean,ages_21_40_mean,ages_41_60_mean,ages_61_80_mean,ages_81_100_mean,ages_1_20_stdDev,ages_21_40_stdDev,ages_41_60_stdDev,ages_61_80_stdDev,ages_81_100_stdDev,ages_1_20_median,ages_21_40_median,ages_41_60_median,ages_61_80_median,ages_81_100_median,ages_1_20_min,ages_21_40_min,ages_41_60_min,ages_61_80_min,ages_81_100_min,ages_1_20_max,ages_21_40_max,ages_41_60_max,ages_61_80_max,ages_81_100_max,ages_1_20_p10,ages_21_40_p10,ages_41_60_p10,ages_61_80_p10,ages_81_100_p10,ages_1_20_p25,ages_21_40_p25,ages_41_60_p25,ages_61_80_p25,ages_81_100_p25,ages_1_20_p75,ages_21_40_p75,ages_41_60_p75,ages_61_80_p75,ages_81_100_p75,ages_1_20_p90,ages_21_40_p90,ages_41_60_p90,ages_61_80_p90,ages_81_100_p90
ABW_0,Aruba (Neth),533,Tropical & Subtropical Moist Broadleaf Forests,1,Cordillera Oriental montane forests,457,146.94075350490198,1.1514048364149962,1.1714391870648448,1.0426959738681454,0.8602063559112749,0.6772163235704312,0.01217079162597656,0.02626609802246093,0.03471440076828003,0.03736943006515503,0.03589963912963867,1.1433122158050537,1.1539742946624756,1.0196136236190796,0.8353586196899414,0.6533458828926086,1.1433122158050537,1.1539742946624756,1.0196136236190796,0.8353586196899414,0.6533458828926086,1.1676537990570068,1.2065064907073977,1.0890424251556396,0.9100974798202516,0.725145161151886,1.1433122158050537,1.1539742946624756,1.0196136236190796,0.8353586196899414,0.6533458828926086,1.1433122158050537,1.1539742946624756,1.0196136236190796,0.8353586196899414,0.6533458828926086,1.1676537990570068,1.2065064907073977,1.0890424251556396,0.9100974798202516,0.725145161151886,1.1676537990570068,1.2065064907073977,1.0890424251556396,0.9100974798202516,0.725145161151886
ABW_1,Aruba (Neth),533,Deserts & Xeric Shrublands,13,Caribbean shrublands,599,669.3870360539215,0.26544617116451263,0.28638048527332455,0.28680387368569005,0.2732161913926785,0.2512533051463274,0.01530386810215065,0.030297401231149,0.03970653765914823,0.04406167543811098,0.04466933659160464,0.2671319246292114,0.28572529554367065,0.2842825651168823,0.26937806606292725,0.24674110114574432,0.2367294579744339,0.2382444590330124,0.2276519238948822,0.20977802574634552,0.1882796287536621,0.2903363108634949,0.35497158765792847,0.3837104737758637,0.3844984173774719,0.3663139343261719,0.244123175740242,0.251325786113739,0.24387779831886292,0.22720174491405487,0.20556187629699707,0.2521503269672394,0.2592836320400238,0.25140029191970825,0.23407873511314392,0.21169714629650116,0.2792394757270813,0.3070593774318695,0.3102812170982361,0.297631174325943,0.27501899003982544,0.2854294180870056,0.3254900276660919,0.3390738070011139,0.33171215653419495,0.31080904603004456
ABW_2,Aruba (Neth),533,Mangroves,14,Amazon-Orinoco-Southern Caribbean mangroves,611,4156.404882794118,0.2710093851142292,0.2984104600699642,0.30265411649700963,0.2907592585381073,0.26897527447229697,0.01194299159341692,0.01977307336733639,0.02500104028749589,0.02737970725935595,0.0275789231123217,0.27026297790663584,0.2980090081691742,0.3024056740105152,0.2906209925810496,0.2687084823846817,0.2372599095106125,0.24326260387897491,0.23540420830249784,0.21888113021850583,0.1977519989013672,0.311513751745224,0.3615039587020874,0.3787597119808197,0.3718647062778473,0.3492986559867859,0.2579530080159505,0.2741009071469307,0.271889291703701,0.25633422533671063,0.2339189996321996,0.26333187023798627,0.28477174043655396,0.28621678551038104,0.2740475177764893,0.25155429542064667,0.2767336964607239,0.3118057921528816,0.32307089439460207,0.31099748611450195,0.28958598524332047,0.28634674350420636,0.3243192235628764,0.33109813928604126,0.32487836480140686,0.30238041281700134
AFG_0,Afghanistan,4,N/A,11,Rock and Ice,0,12106.966590122547,0.47944611292096634,0.5711351833954642,0.505971127390107,0.39315681442429745,0.2859383947392808,0.04194335129733941,0.07994670710021523,0.061999252892734,0.04082860519691298,0.03505757005536149,0.4775855056941509,0.5519313216209412,0.49151334166526794,0.384512759745121,0.2800444761912028,0.34305575489997864,0.3759661316871643,0.35268768668174744,0.30329570174217224,0.21758250892162323,0.5708484649658203,0.7928217649459839,0.7137927412986755,0.5519810914993286,0.39132270216941833,0.4222070351243019,0.4835950553417206,0.44856723546981814,0.35223713517189026,0.2447027772665024,0.45213066786527634,0.5204105973243713,0.46992237369219464,0.36681029945611954,0.25923046469688416,0.5069355443120003,0.613203376531601,0.5193930268287659,0.41112856566905975,0.308987428744634,0.5377176105976105,0.6860898931821188,0.5980502963066101,0.4478389024734497,0.3386439383029938
AFG_1,Afghanistan,4,Temperate Conifer Forests,5,Western Himalayan subalpine conifer forests,310,11928.316149877446,0.5110170324365576,0.6233013299378481,0.6146277112143856,0.5441822628458063,0.4535871769164826,0.0953120947991446,0.138240612218518,0.12526857904048427,0.09095847302893446,0.05942121239573712,0.5369718124469121,0.6389315525690714,0.621079608798027,0.5432626754045486,0.4557909741997719,0.2617074251174927,0.29270538687705994,0.29974737763404846,0.2898271977901459,0.2612341344356537,0.6448827385902405,0.8894014358520508,0.8607368469238281,0.7281626462936401,0.5737165212631226,0.36661702394485474,0.4328864961862564,0.4576752285162608,0.4444222450256348,0.39155646165211994,0.4500595629215241,0.5298433303833008,0.5256878018379212,0.4856530576944351,0.42075356245040896,0.5923693776130676,0.7278079092502594,0.7093454897403717,0.6042652130126953,0.4871319115161896,0.6144754588603973,0.7906101107597351,0.7793256759643554,0.6649187356233597,0.5383619070053101
AFG_2,Afghanistan,4,Temperate Conifer Forests,5,East Afghan montane conifer forests,694,318748.1220691663,0.2511609421778119,0.29306920184137714,0.2885139592317271,0.25927080152823084,0.22121442744688985,0.17592742754303212,0.2429231439974727,0.24241697324789852,0.2084204632894327,0.16566815487686715,0.15402222763408313,0.15871704360231376,0.15029723625233832,0.13856337004459943,0.1266890138698121,0.08076068758964539,0.08709883689880371,0.08601973205804825,0.07679879665374756,0.06731767952442169,0.705247163772583,0.995662271976471,1.0140409469604492,0.9088844060897828,0.784375011920929,0.10742421005091636,0.11121926949228216,0.10717905517761132,0.09974839418494792,0.0918068842277494,0.1191819734985692,0.12324346601963045,0.11918176558646933,0.1113381127871634,0.09962059109160004,0.34558880371706824,0.3887590845425924,0.3808770919287646,0.3497428894042969,0.29871306469043096,0.5881457730215423,0.7555554352308574,0.7443917055924734,0.6503935150611095,0.5292461622845043
AFG_3,Afghanistan,4,"Temperate Grasslands, Savannas & Shrublands",8,Gissaro-Alai open woodlands,730,167171.71113973047,0.43989304339941165,0.5433181433857913,0.5127412061150803,0.4286452132689538,0.33745683569400664,0.1298937392885142,0.19402089528248775,0.1690061497410978,0.11876307237133564,0.0768684502611698,0.4785125821828842,0.5722161419689655,0.5448789779956524,0.4625240030788606,0.3545221210415684,0.10730665922164916,0.10649502277374268,0.10078568756580351,0.09223313629627228,0.08235891163349152,0.6343339681625366,0.8679590225219727,0.8073335886001587,0.6541467905044556,0.5043329000473022,0.2403924036771059,0.26011062704998517,0.260395732792941,0.2441964894533157,0.22176533192396164,0.3456596485206059,0.3885645428124596,0.3850149720907211,0.3501319956211817,0.3037072185959135,0.5489136031213796,0.7127402471868616,0.6618181543472486,0.5214616656303406,0.391513483439173,0.579778394592342,0.7870409977436066,0.7090647950464365,0.5527283242520165,0.41703751124441624
AFG_4,Afghanistan,4,Montane Grasslands & Shrublands,10,Ghorat-Hazarajat alpine meadow,752,1671162.387180393,0.2519095215936508,0.28497056893891215,0.28352035601108777,0.26187974167504585,0.2311582080367404,0.12379800163076445,0.16972451064729663,0.17077067930080503,0.14858460538849033,0.11972546120122676,0.21675577125553697,0.23817635584766209,0.2382067787511963,0.2206567290512244,0.20508354286274572,0.06683675199747086,0.0673535019159317,0.06411951780319214,0.0589277520775795,0.05278461053967476,0.8258078694343567,1.2587602138519287,1.1817296743392944,0.9781384468078612,0.8386859893798828,0.1269480648445107,0.1293727679055203,0.12902948512027493,0.11915655520329634,0.10744759312653836,0.16590913081247555,0.17608734609356652,0.16786222555168714,0.15816090878986178,0.1464076741669045,0.3105268712554659,0.347698239481461,0.3476903884645117,0.3261715203923369,0.29102187898869697,0.4081407584573912,0.4803234729797218,0.4726990203707273,0.4238226918866799,0.3573808915307077
AFG_5,Afghanistan,4,Montane Grasslands & Shrublands,10,Hindu Kush alpine meadow,753,1479130.896655956,0.5494393589658202,0.7227010571878015,0.7054298881675565,0.6004900645956922,0.4755692878354642,0.11381202030116326,0.1959905510501943,0.19876490324289303,0.16929627938748115,0.13521999032722334,0.5723386112132359,0.7617300506586973,0.7226875789487477,0.591695999397951,0.47077895840629935,0.14601293206214905,0.14690005779266355,0.1403377503156662,0.1292988806962967,0.11603455245494844,0.8370811939239502,1.2582844495773315,1.1810762882232666,1.0371447801589966,0.8870698809623718,0.3846469228306124,0.4255032081116912,0.4181024933403189,0.3731084686837026,0.3143341086678586,0.49034661066162494,0.5974896329753804,0.5820842057858643,0.4942010873307784,0.3770113216491523,0.6231034220699669,0.8553210002270021,0.8398559735371516,0.7245247076297628,0.5760737451729854,0.6816918831960909,0.949150204860558,0.9570977200793848,0.8221640461569379,0.654475946251939
AFG_6,Afghanistan,4,Montane Grasslands & Shrublands,10,Karakoram-West Tibetan Plateau alpine steppe,754,153925.80405867656,0.429585250979808,0.5023315538608683,0.45235425582640953,0.36188439744750744,0.27283703745207966,0.08436628140979577,0.1270328723847221,0.1051226088292532,0.07091071330571355,0.04886919768641976,0.4422982587762501,0.5019254026128285,0.4433142894080707,0.35641882287131416,0.2646646672679532,0.16187313199043274,0.16411754488945007,0.1574217975139618,0.14545884728431702,0.1308148354291916,0.6001570820808411,0.847364068031311,0.7868479490280151,0.61266326904296875,0.4436414837837219,0.30371693005928624,0.3298254722640628,0.31425518599840313,0.27639348564609406,0.21965966634003511,0.3760192141388402,0.4237134026156531,0.3883418128603981,0.3114459338860634,0.2353804695362947,0.485274957285987,0.5643170379823254,0.501893563196063,0.4032729039358538,0.30378457903862,0.5360816039822318,0.6736977941849652,0.5871935168902079,0.4520613193511963,0.3428161229406084
