system:index,agc_mgha,age,mean,.geo
0_00000000000000000025,0.36,5.0,3.328993797302246,"{""type"":""Point"",""coordinates"":[15.462499208657372,60.64583443155065]}"
0_0000000000000000003e,1.11,5.0,4.858861923217773,"{""type"":""Point"",""coordinates"":[-111.7208327260272,46.54583138617787]}"
0_00000000000000000032,9.77,5.0,4.04563045501709,"{""type"":""Point"",""coordinates"":[18.529165694345807,63.89583239795046]}"
0_00000000000000000020,5.99,5.0,4.083822727203369,"{""type"":""Point"",""coordinates"":[14.904166247553308,60.82083185239312]}"
0_00000000000000000038,15.79,5.0,23.5352840423584,"{""type"":""Point"",""coordinates"":[95.8708331767243,18.87916499513183]}"
0_00000000000000000029,1.32,5.0,1.8328754901885986,"{""type"":""Point"",""coordinates"":[15.81249850944339,61.2791650132726]}"
0_0000000000000000002b,0.18,5.0,3.371694326400757,"{""type"":""Point"",""coordinates"":[16.095834249480394,60.354164631644736]}"
0_0000000000000000002a,0.76,5.0,2.5691606998443604,"{""type"":""Point"",""coordinates"":[15.945834549143532,59.970833550484215]}"
0_00000000000000000010,15.4,5.0,3.6009907722473145,"{""type"":""Point"",""coordinates"":[13.14583122465326,60.41249859162592]}"
0_0000000000000000000f,0.18,5.0,4.508828163146973,"{""type"":""Point"",""coordinates"":[13.029167763791953,59.99583127098983]}"
0_0000000000000000003b,2.62,5.0,2.881880283355713,"{""type"":""Point"",""coordinates"":[-115.60416573325,48.81249947006968]}"
0_00000000000000000019,3.13,5.0,6.10551643371582,"{""type"":""Point"",""coordinates"":[14.395833186561529,59.53749811011035]}"
0_00000000000000000027,0.65,5.0,6.380577087402344,"{""type"":""Point"",""coordinates"":[15.737500888825481,63.6541669572579]}"
0_00000000000000000028,0.91,5.0,1.8486123085021973,"{""type"":""Point"",""coordinates"":[15.804164449574497,59.804165730409565]}"
0_00000000000000000011,19.75,5.0,1.8837120532989502,"{""type"":""Point"",""coordinates"":[13.16249934439104,59.96249949061532]}"
0_00000000000000000009,3.95,5.0,0.9033276438713074,"{""type"":""Point"",""coordinates"":[-71.3291672313479,51.362498834897465]}"
0_00000000000000000031,4.71,5.0,5.943460464477539,"{""type"":""Point"",""coordinates"":[18.2124981739343,64.34583149896105]}"
0_00000000000000000034,13.61,5.0,3.670269250869751,"{""type"":""Point"",""coordinates"":[21.129164959285873,64.65416495950367]}"
0_0000000000000000003a,5.64,5.0,13.370731353759766,"{""type"":""Point"",""coordinates"":[116.89583353540169,25.59583310721945]}"
0_00000000000000000023,0.18,5.0,2.554412603378296,"{""type"":""Point"",""coordinates"":[15.087502187365734,61.00416779220555]}"
0_0000000000000000003d,1.49,5.0,4.614340305328369,"{""type"":""Point"",""coordinates"":[-114.8208354511912,45.679164964531175]}"
0_0000000000000000001d,11.61,5.0,3.929924964904785,"{""type"":""Point"",""coordinates"":[14.704166647104147,61.72083451351537]}"
0_00000000000000000016,0.58,5.0,4.444720268249512,"{""type"":""Point"",""coordinates"":[13.887500125569753,62.33750143460062]}"
