age,CR  Prediction,RF Max,RF Mean,RF Min
0,0.729,,,
1,1.113,,,
2,1.597,,,
3,2.189,,,
4,2.893,,,
5,3.71,21,14.49,9
6,4.643,,,
7,5.693,,,
8,6.859,,,
9,8.139,,,
10,9.534,22,17.86,14
11,11.039,,,
12,12.652,,,
13,14.37,,,
14,16.19,,,
15,18.107,23,20.36,16
16,20.117,,,
17,22.217,,,
18,24.4,,,
19,26.664,,,
20,29.003,35,30.87,25
21,31.413,,,
22,33.889,,,
23,36.426,,,
24,39.02,,,
25,41.667,47,40.29,33
26,44.361,,,
27,47.099,,,
28,49.875,,,
29,52.687,,,
30,55.53,69,61.35,54
31,58.4,,,
32,61.294,,,
33,64.207,,,
34,67.136,,,
35,70.077,70,60.02,52
36,73.029,,,
37,75.986,,,
38,78.947,,,
39,81.909,,,
40,84.868,88,79.89,73
41,87.823,,,
42,90.77,,,
43,93.708,,,
44,96.635,,,
45,99.548,96,85.89,75
46,102.445,,,
47,105.324,,,
48,108.185,,,
49,111.025,,,
50,113.843,137,123.09,105
51,116.637,,,
52,119.407,,,
53,122.15,,,
54,124.866,,,
55,127.555,131,115.87,99
56,130.214,,,
57,132.843,,,
58,135.442,,,
59,138.009,,,
60,140.545,172,151.67,124
61,143.048,,,
62,145.518,,,
63,147.955,,,
64,150.358,,,
65,152.728,171,151.42,131
66,155.063,,,
67,157.363,,,
68,159.629,,,
69,161.86,,,
70,164.057,176,162.62,150
71,166.218,,,
72,168.345,,,
73,170.437,,,
74,172.494,,,
75,174.517,189,169.37,144
76,176.506,,,
77,178.46,,,
78,180.38,,,
79,182.266,,,
80,184.119,211,194.5,174
81,185.938,,,
82,187.724,,,
83,189.477,,,
84,191.198,,,
85,192.887,219,200.7,178
86,194.543,,,
87,196.169,,,
88,197.763,,,
89,199.326,,,
90,200.859,244,223.34,199
91,202.362,,,
92,203.835,,,
93,205.279,,,
94,206.694,,,
95,208.08,216,196.23,178
96,209.439,,,
97,210.77,,,
98,212.073,,,
99,213.35,,,
100,214.601,236,202.1,166
