system:index,age,id,median_rate,.geo
0_0,1,1,1.3164210209373146,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1,2,1,1.3476675448746172,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2,3,1,1.371093914902361,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3,4,1,1.3867137136348466,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4,5,1,1.414002332477334,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5,6,1,1.429624894337258,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6,7,1,1.4452540429561007,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7,8,1,1.4608824359848487,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8,9,1,1.476518113005292,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9,10,1,1.4921037448648415,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10,11,1,1.5077159371712912,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11,12,1,1.5077316999103163,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12,13,1,1.5233550941240028,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13,14,1,1.5389752123896854,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14,15,1,1.5389585690967953,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_15,16,1,1.5389634566908446,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16,17,1,1.554581033322017,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17,18,1,1.5545916977369154,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_18,19,1,1.5545886862606668,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_19,20,1,1.5545792385931654,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20,21,1,1.5545822820405875,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_21,22,1,1.5546073104742077,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_22,23,1,1.5546025463702513,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_23,24,1,1.5546114222443743,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_24,25,1,1.5546223192906028,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_25,26,1,1.5546126736748889,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_26,27,1,1.538975854826665,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_27,28,1,1.5389807916409515,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_28,29,1,1.5389812806992937,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_29,30,1,1.5233738372179808,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_30,31,1,1.523365536470687,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_31,32,1,1.5077281887306015,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_32,33,1,1.5077394999316838,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_33,34,1,1.4921235169293716,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_34,35,1,1.4764821490120605,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_35,36,1,1.4764870936054069,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_36,37,1,1.460842710524158,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_37,38,1,1.4452331298237686,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_38,39,1,1.445245502545432,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_39,40,1,1.429623415454882,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_40,41,1,1.4139949744429514,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_41,42,1,1.3983406739957471,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_42,43,1,1.3983987661035087,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_43,44,1,1.3827361639788494,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_44,45,1,1.3671340347629513,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_45,46,1,1.3515194812707843,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_46,47,1,1.3358769155902899,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_47,48,1,1.3202674413032516,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_48,49,1,1.3202566687148303,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_49,50,1,1.3046425094878706,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_50,51,1,1.289032958408391,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_51,52,1,1.2734201317852767,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_52,53,1,1.2577893244022074,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_53,54,1,1.2421587193775057,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_54,55,1,1.2265545987332969,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_55,56,1,1.2109381249047757,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_56,57,1,1.1953293140536445,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_57,58,1,1.1797177173982671,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_58,59,1,1.1641154471565582,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_59,60,1,1.1523485791415709,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_60,61,1,1.1367213758633903,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_61,62,1,1.1211125989341804,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_62,63,1,1.105493551447059,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_63,64,1,1.0898540137580899,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_64,65,1,1.0742297468618385,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_65,66,1,1.0586011692018218,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_66,67,1,1.0507981047782338,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_67,68,1,1.0351835670958083,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_68,69,1,1.0195492611543682,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_69,70,1,1.0039318643789374,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_70,71,1,0.9883084036035381,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_71,72,1,0.9726778849950241,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_72,73,1,0.9570689847024122,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_73,74,1,0.9414388263805373,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_74,75,1,0.9258095409660391,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_75,76,1,0.9180054823520871,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_76,77,1,0.9023759390097197,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_77,78,1,0.8867405329926321,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_78,79,1,0.8711193722840592,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_79,80,1,0.8554961669630909,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_80,81,1,0.8398740520267778,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_81,82,1,0.832054635232229,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_82,83,1,0.8164247166064631,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_83,84,1,0.8008057469051195,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_84,85,1,0.785177767310123,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_85,86,1,0.7773556405567239,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_86,87,1,0.761733136785032,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_87,88,1,0.7461061549247973,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_88,89,1,0.7304783116516669,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_89,90,1,0.7226613381256882,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_90,91,1,0.7070395685764087,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_91,92,1,0.6914132779458075,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_92,93,1,0.6835852186473659,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_93,94,1,0.6679736888622771,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_94,95,1,0.6601489864974234,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_95,96,1,0.6445279402128976,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_96,97,1,0.6367126451709488,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_97,98,1,0.6210933459761566,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_98,99,1,0.6132772872951539,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_99,100,1,0.597650908993578,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,1,2,0.5976514488453094,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1,2,2,0.6132772652460016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2,3,2,0.6210707201811998,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3,4,2,0.636664571756035,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4,5,2,0.6444831886750881,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5,6,2,0.6484990528783002,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6,7,2,0.6640333385131562,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_7,8,2,0.6795520505024026,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8,9,2,0.6797616858687685,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9,10,2,0.6953405469347295,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_10,11,2,0.6953678013518171,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_11,12,2,0.7110474835660595,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_12,13,2,0.7109591504657251,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_13,14,2,0.7267050534753053,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_14,15,2,0.7266395256704163,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_15,16,2,0.726488444538223,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_16,17,2,0.7422941592501631,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_17,18,2,0.7421816266012065,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_18,19,2,0.7421363226915602,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_19,20,2,0.757873544550976,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20,21,2,0.7578794189620747,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_21,22,2,0.7578260326300951,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_22,23,2,0.7577548127915293,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23,24,2,0.7577226993625475,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24,25,2,0.77349653749585,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_25,26,2,0.7734616354320247,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_26,27,2,0.7734592273499076,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_27,28,2,0.7734089941156721,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_28,29,2,0.7734153790261714,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_29,30,2,0.7734105378203772,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_30,31,2,0.7734397847457775,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_31,32,2,0.7734382491145487,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_32,33,2,0.7734295121867975,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_33,34,2,0.7734363086316292,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_34,35,2,0.7734388367071732,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_35,36,2,0.7734412707993947,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_36,37,2,0.7734299326562053,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_37,38,2,0.7734318909647386,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_38,39,2,0.773400397712364,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_39,40,2,0.7734121354023394,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_40,41,2,0.77343123994373,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_41,42,2,0.7734411851607216,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_42,43,2,0.7734819291728423,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_43,44,2,0.7735259174651785,"{""type"":""MultiPoint"",""coordinates"":[]}"
