system:index,A,B,K,.geo
0,174.60000610351562,0.5168163776397705,0.022766951471567154,"{""type"":""Point"",""coordinates"":[-61.31056822891251,2.4687497319005662]}"
1,143.0,0.47499769926071167,0.012239718809723854,"{""type"":""Point"",""coordinates"":[-61.98390235036056,-15.066990411396393]}"
2,145.8000030517578,0.44277748465538025,0.0198605265468359,"{""type"":""Point"",""coordinates"":[-52.51273763299194,-11.667821749024037]}"
3,196.89796447753906,0.5578568577766418,0.023335840553045273,"{""type"":""Point"",""coordinates"":[-52.10476704207047,-2.596897532959146]}"
4,131.39999389648438,0.44614464044570923,0.022650927305221558,"{""type"":""Point"",""coordinates"":[-66.34372905951155,-12.775042269019746]}"
5,180.0,0.5558422803878784,0.026025239378213882,"{""type"":""Point"",""coordinates"":[-67.90789611286007,1.6646121951139092]}"
6,189.56838989257812,0.5199921131134033,0.021528160199522972,"{""type"":""Point"",""coordinates"":[-62.370517257933415,-7.454136398483939]}"
7,135.89999389648438,0.441170871257782,0.021942494437098503,"{""type"":""Point"",""coordinates"":[-66.33139166512598,-12.289753740411271]}"
8,186.3000030517578,0.5497058629989624,0.02431464195251465,"{""type"":""Point"",""coordinates"":[-49.84411049242825,-4.688193758131514]}"
9,171.89999389648438,0.47085464000701904,0.020195676013827324,"{""type"":""Point"",""coordinates"":[-57.29595727229439,1.7029120859522235]}"
10,180.0737762451172,0.47610193490982056,0.019113557413220406,"{""type"":""Point"",""coordinates"":[-59.73139305535241,-9.115406817804583]}"
11,203.32879638671875,0.5804784893989563,0.023917336016893387,"{""type"":""Point"",""coordinates"":[-62.79287069498158,-3.144726502361365]}"
12,177.3000030517578,0.501105785369873,0.024183258414268494,"{""type"":""Point"",""coordinates"":[-59.162836981660305,1.3962483389242286]}"
13,196.390380859375,0.5896202325820923,0.026165740564465523,"{""type"":""Point"",""coordinates"":[-50.267007517037584,-3.0283978372619087]}"
14,133.1999969482422,0.4622151255607605,0.02274274080991745,"{""type"":""Point"",""coordinates"":[-51.75637994255674,-11.736282367136313]}"
15,157.5688018798828,0.460365891456604,0.017376292496919632,"{""type"":""Point"",""coordinates"":[-65.74664349707855,-12.194437586540023]}"
16,183.60000610351562,0.5487889647483826,0.025867272168397903,"{""type"":""Point"",""coordinates"":[-70.63140324400959,1.0319895804171795]}"
17,181.8000030517578,0.4341064393520355,0.014078883454203606,"{""type"":""Point"",""coordinates"":[-68.27597531388265,-11.858580370029646]}"
18,177.10743713378906,0.5333698391914368,0.0212791059166193,"{""type"":""Point"",""coordinates"":[-58.49724129569518,5.999340105404047]}"
19,214.37034606933594,0.5894932746887207,0.022637829184532166,"{""type"":""Point"",""coordinates"":[-51.13393121268383,-0.18122606952627604]}"
20,187.92906188964844,0.5481259226799011,0.023438071832060814,"{""type"":""Point"",""coordinates"":[-63.42677379273884,1.895593160552981]}"
21,180.0,0.5627788305282593,0.02552429586648941,"{""type"":""Point"",""coordinates"":[-68.94007286315232,0.8941795950932707]}"
22,222.22476196289062,0.5951159596443176,0.022082505747675896,"{""type"":""Point"",""coordinates"":[-61.83477261542121,-2.916027231494994]}"
23,182.6999969482422,0.550184965133667,0.02382536605000496,"{""type"":""Point"",""coordinates"":[-70.06049015587627,-0.7606339240580596]}"
24,137.79525756835938,0.44295230507850647,0.024327676743268967,"{""type"":""Point"",""coordinates"":[-67.73447606939736,-11.930076883097668]}"
25,192.0328369140625,0.5462314486503601,0.02240448258817196,"{""type"":""Point"",""coordinates"":[-57.808987104516035,-3.226074916185486]}"
26,133.1999969482422,0.46917521953582764,0.021642591804265976,"{""type"":""Point"",""coordinates"":[-62.34761255999589,7.265256504052677]}"
27,223.74215698242188,0.5993781089782715,0.022324277088046074,"{""type"":""Point"",""coordinates"":[-50.660471933114934,1.5899913712146647]}"
28,199.8000030517578,0.607465386390686,0.02538827806711197,"{""type"":""Point"",""coordinates"":[-64.66682038765354,-2.885905239362783]}"
29,196.33355712890625,0.5265783071517944,0.019606703892350197,"{""type"":""Point"",""coordinates"":[-63.83656015377984,-4.3442637184526545]}"
30,198.0,0.5574797987937927,0.024368075653910637,"{""type"":""Point"",""coordinates"":[-55.66066981638669,-0.9169007355802299]}"
31,211.2441864013672,0.5545549988746643,0.021587098017334938,"{""type"":""Point"",""coordinates"":[-62.2298146696523,4.269748503369188]}"
32,191.96612548828125,0.531930685043335,0.023199932649731636,"{""type"":""Point"",""coordinates"":[-55.11305576611081,1.1813559354274537]}"
33,197.10000610351562,0.574719250202179,0.02481779456138611,"{""type"":""Point"",""coordinates"":[-73.84289897909589,3.448414701796998]}"
34,226.185546875,0.59349125623703,0.020941564813256264,"{""type"":""Point"",""coordinates"":[-57.66265112581585,-2.9934448840445245]}"
35,186.3000030517578,0.550325870513916,0.02359921671450138,"{""type"":""Point"",""coordinates"":[-72.02322538334086,-2.810458615437983]}"
36,164.460205078125,0.512471079826355,0.022817017510533333,"{""type"":""Point"",""coordinates"":[-55.548638552288786,5.435949350871496]}"
