system:index,A,B,K,.geo
0,184.10659790039062,0.5867787599563599,0.028518203645944595,"{""type"":""Point"",""coordinates"":[114.80206544885212,1.6739782479028331]}"
1,196.27772521972656,0.6169556975364685,0.028080791234970093,"{""type"":""Point"",""coordinates"":[111.8925070478117,2.4679036021139114]}"
2,197.25108337402344,0.6166545152664185,0.024472083896398544,"{""type"":""Point"",""coordinates"":[117.7421088261045,2.710818812752666]}"
3,190.6774139404297,0.6084758639335632,0.026844888925552368,"{""type"":""Point"",""coordinates"":[111.47174209068527,0.4651854318855838]}"
4,201.60000610351562,0.57583087682724,0.023295283317565918,"{""type"":""Point"",""coordinates"":[115.73303533598343,0.6130228082954774]}"
5,187.4906005859375,0.575451672077179,0.02646704390645027,"{""type"":""Point"",""coordinates"":[116.37652834390198,3.776527324282864]}"
6,187.99513244628906,0.5735183954238892,0.026777716353535652,"{""type"":""Point"",""coordinates"":[115.0181626056146,1.4612566954503217]}"
7,199.8000030517578,0.5753849744796753,0.02352767623960972,"{""type"":""Point"",""coordinates"":[115.56948721972124,4.719338408555204]}"
8,195.00840759277344,0.516217052936554,0.016490019857883453,"{""type"":""Point"",""coordinates"":[117.13279451134434,0.41818139355420836]}"
9,208.5916290283203,0.5731744170188904,0.02256806567311287,"{""type"":""Point"",""coordinates"":[114.70662224116259,-2.753576723557998]}"
10,192.831298828125,0.5843262672424316,0.027195855975151062,"{""type"":""Point"",""coordinates"":[113.44171988967432,1.3261480284633886]}"
11,191.6999969482422,0.584492564201355,0.026356166228652,"{""type"":""Point"",""coordinates"":[112.26048520280314,0.3303681221104067]}"
12,202.5,0.5737478137016296,0.023686828091740608,"{""type"":""Point"",""coordinates"":[113.8104049237052,1.8200232320913]}"
13,195.3000030517578,0.5650940537452698,0.02422555908560753,"{""type"":""Point"",""coordinates"":[116.29169391156294,3.2285118963072654]}"
14,219.8889617919922,0.6260660886764526,0.024270836263895035,"{""type"":""Point"",""coordinates"":[109.5364769493195,-0.6027186726639067]}"
15,193.65975952148438,0.5960327386856079,0.026042761281132698,"{""type"":""Point"",""coordinates"":[111.77168157541838,0.5046351977994906]}"
16,186.8488006591797,0.5702429413795471,0.022999832406640053,"{""type"":""Point"",""coordinates"":[117.15016858848027,1.2484709515560273]}"
17,195.48434448242188,0.568627119064331,0.024166814982891083,"{""type"":""Point"",""coordinates"":[115.52451562904442,4.713636283313652]}"
18,201.06834411621094,0.6112545132637024,0.025478653609752655,"{""type"":""Point"",""coordinates"":[110.34141721436923,-1.210056787035915]}"
19,200.13909912109375,0.6022859215736389,0.024312298744916916,"{""type"":""Point"",""coordinates"":[117.5599283987561,3.7334095156227565]}"
20,185.7081298828125,0.600570797920227,0.029222585260868073,"{""type"":""Point"",""coordinates"":[115.0875344537431,2.753419340185163]}"
21,182.628662109375,0.5774186849594116,0.027808427810668945,"{""type"":""Point"",""coordinates"":[115.80899629434977,1.447600593168282]}"
22,207.0,0.5678517818450928,0.02215099148452282,"{""type"":""Point"",""coordinates"":[113.8597093798088,-0.17349434187121596]}"
23,195.4752197265625,0.609521210193634,0.02706947550177574,"{""type"":""Point"",""coordinates"":[110.39229946253185,1.1792869706156945]}"
24,197.10000610351562,0.5774009823799133,0.02394009940326214,"{""type"":""Point"",""coordinates"":[116.80378380707563,1.774777332865141]}"
25,205.1999969482422,0.5710353851318359,0.02264147810637951,"{""type"":""Point"",""coordinates"":[112.60922623920017,-0.3836122896342881]}"
26,195.3000030517578,0.5970371961593628,0.02555573172867298,"{""type"":""Point"",""coordinates"":[109.56870920114973,0.6768004508390085]}"
27,200.84730529785156,0.6224979162216187,0.026310857385396957,"{""type"":""Point"",""coordinates"":[109.23179284424499,1.173522353678732]}"
28,199.8000030517578,0.5846084356307983,0.02517170086503029,"{""type"":""Point"",""coordinates"":[115.11633643499157,3.3372074537541105]}"
29,205.1999969482422,0.558815598487854,0.021659206598997116,"{""type"":""Point"",""coordinates"":[114.66819326604728,0.20436620923390328]}"
30,192.60000610351562,0.5840598344802856,0.02556106075644493,"{""type"":""Point"",""coordinates"":[111.64530969566657,-0.9200957320336324]}"
31,189.89999389648438,0.5713199377059937,0.026187634095549583,"{""type"":""Point"",""coordinates"":[114.54655164980629,0.32186263470816345]}"
32,202.6984100341797,0.6213669180870056,0.02634470909833908,"{""type"":""Point"",""coordinates"":[114.25376798446419,3.9594768558579467]}"
33,207.4918212890625,0.6112961769104004,0.02423776499927044,"{""type"":""Point"",""coordinates"":[116.22530998812363,-2.0443229265828755]}"
34,187.96502685546875,0.5823977589607239,0.02685696631669998,"{""type"":""Point"",""coordinates"":[114.41559305478373,1.3569992857971807]}"
35,201.60000610351562,0.5803533792495728,0.02288055792450905,"{""type"":""Point"",""coordinates"":[116.98837208592415,5.742667608943089]}"
