system:index,A,B,K,.geo
0,164.2523956298828,0.4310164153575897,0.015936249867081642,"{""type"":""Point"",""coordinates"":[18.018846314732883,-0.5292500608991318]}"
1,169.1999969482422,0.4260364770889282,0.012610835954546928,"{""type"":""Point"",""coordinates"":[20.962836752114615,3.8190914235271816]}"
2,194.39999389648438,0.4739345908164978,0.013736174441874027,"{""type"":""Point"",""coordinates"":[18.831732327708078,4.298923378494007]}"
3,182.60000610351562,0.4171050786972046,0.012058496475219727,"{""type"":""Point"",""coordinates"":[15.212997587389324,-0.26864198865656275]}"
4,170.10000610351562,0.43402138352394104,0.018252821639180183,"{""type"":""Point"",""coordinates"":[25.868396192753405,2.538479598134595]}"
5,145.8000030517578,0.378497838973999,0.01473970152437687,"{""type"":""Point"",""coordinates"":[23.576018814251718,-2.14397444106734]}"
6,169.81993103027344,0.44809776544570923,0.017633626237511635,"{""type"":""Point"",""coordinates"":[19.716868390983606,-2.470739576396227]}"
7,157.85861206054688,0.4232170581817627,0.019063573330640793,"{""type"":""Point"",""coordinates"":[22.29157630738483,-3.0311495913891795]}"
8,189.08029174804688,0.41347095370292664,0.013951148837804794,"{""type"":""Point"",""coordinates"":[11.94964004110774,2.9480632884496467]}"
9,202.5,0.47045281529426575,0.015170545317232609,"{""type"":""Point"",""coordinates"":[20.909064719323577,1.6921809487473911]}"
10,161.12408447265625,0.4315588176250458,0.0170931126922369,"{""type"":""Point"",""coordinates"":[18.186762020946368,-0.41866944337942535]}"
11,182.1522216796875,0.4892803728580475,0.019297832623124123,"{""type"":""Point"",""coordinates"":[21.109727553058516,-0.2944207970921281]}"
12,161.16552734375,0.44720032811164856,0.01938476786017418,"{""type"":""Point"",""coordinates"":[18.816298613232398,-1.8590522364869349]}"
13,184.5,0.42677560448646545,0.013033026829361916,"{""type"":""Point"",""coordinates"":[23.829205564095364,2.1853833037809833]}"
14,154.8000030517578,0.4686850905418396,0.018489167094230652,"{""type"":""Point"",""coordinates"":[18.964637435721624,4.307322873158089]}"
15,172.6999969482422,0.42337846755981445,0.013550425879657269,"{""type"":""Point"",""coordinates"":[15.636977076686888,-0.007170439423896559]}"
16,174.24000549316406,0.41634002327919006,0.014994774013757706,"{""type"":""Point"",""coordinates"":[13.880406811703722,2.010207015683018]}"
17,173.65335083007812,0.44214513897895813,0.015204344876110554,"{""type"":""Point"",""coordinates"":[24.656027072779363,2.766674352551479]}"
18,194.6949920654297,0.42882460355758667,0.009999999776482582,"{""type"":""Point"",""coordinates"":[19.371113963587142,-4.006563281682921]}"
19,150.05784606933594,0.4499655067920685,0.01997990719974041,"{""type"":""Point"",""coordinates"":[23.4924039505391,-5.574206503316027]}"
20,172.6495361328125,0.43354859948158264,0.016200212761759758,"{""type"":""Point"",""coordinates"":[21.115710604300304,-2.1297804739842836]}"
21,170.10000610351562,0.4070224165916443,0.013635421171784401,"{""type"":""Point"",""coordinates"":[24.678529452866307,2.1394277192678306]}"
22,175.5,0.4172878861427307,0.012823506258428097,"{""type"":""Point"",""coordinates"":[25.39103173627274,0.7366594922587258]}"
23,205.1999969482422,0.4387095868587494,0.012099163606762886,"{""type"":""Point"",""coordinates"":[14.347083607495689,2.5301357620680824]}"
24,169.9848175048828,0.47280675172805786,0.018565526232123375,"{""type"":""Point"",""coordinates"":[19.22760564828278,3.0886503513453674]}"
25,138.60000610351562,0.4085398018360138,0.020498808473348618,"{""type"":""Point"",""coordinates"":[17.357515462555018,1.1284507251155584]}"
26,169.1999969482422,0.45300713181495667,0.018201563507318497,"{""type"":""Point"",""coordinates"":[23.93202475171005,3.785319497123944]}"
27,154.8000030517578,0.4077165722846985,0.010775678791105747,"{""type"":""Point"",""coordinates"":[26.226549630544625,-4.082711403522622]}"
28,171.41693115234375,0.45866328477859497,0.020234668627381325,"{""type"":""Point"",""coordinates"":[22.11227094772307,-0.42517331667543834]}"
29,189.89999389648438,0.447884738445282,0.015306943096220493,"{""type"":""Point"",""coordinates"":[19.872663769868755,2.3986337080764755]}"
30,144.71636962890625,0.40763550996780396,0.01805002987384796,"{""type"":""Point"",""coordinates"":[17.064509740745844,0.7043465636489535]}"
31,231.3000030517578,0.4695075452327728,0.009999999776482582,"{""type"":""Point"",""coordinates"":[14.889201814633386,1.8762329057442324]}"
32,163.85525512695312,0.45472121238708496,0.019170507788658142,"{""type"":""Point"",""coordinates"":[17.734336514013496,2.4368666169914777]}"
33,191.6999969482422,0.43770408630371094,0.014699050225317478,"{""type"":""Point"",""coordinates"":[11.251997064381248,-2.81453434115686]}"
34,156.7442169189453,0.4253075420856476,0.017963455989956856,"{""type"":""Point"",""coordinates"":[18.294343758987957,-0.24743596147783326]}"
35,161.10000610351562,0.40333664417266846,0.013087911531329155,"{""type"":""Point"",""coordinates"":[27.849083617268327,0.541449404193057]}"
36,223.3000030517578,0.5206007957458496,0.0168832466006279,"{""type"":""Point"",""coordinates"":[9.888610946950015,0.830940183496348]}"
37,170.10000610351562,0.40964776277542114,0.01152987964451313,"{""type"":""Point"",""coordinates"":[28.16240472452955,0.8597578896222131]}"
38,207.15960693359375,0.5450606346130371,0.02360137552022934,"{""type"":""Point"",""coordinates"":[8.49273859351712,5.538500977106621]}"
39,146.6999969482422,0.38880911469459534,0.015317551791667938,"{""type"":""Point"",""coordinates"":[24.887260756799016,-1.4967918920773267]}"
40,135.89999389648438,0.36347442865371704,0.013885131105780602,"{""type"":""Point"",""coordinates"":[24.53621064596799,-3.4084046260012015]}"
41,157.5,0.4257596433162689,0.017360106110572815,"{""type"":""Point"",""coordinates"":[20.57764824400034,-3.3970690076326067]}"
42,168.3000030517578,0.46821069717407227,0.02003009058535099,"{""type"":""Point"",""coordinates"":[26.37565329687075,3.284792765570864]}"
43,158.39999389648438,0.40334028005599976,0.01323355920612812,"{""type"":""Point"",""coordinates"":[13.401337674796551,-5.0290047043263115]}"
