system:index,AGC_mean,AGC_p5,AGC_p50,AGC_p95,age,continent,ez,.geo
0_00000000000000000008,1.1166254131009747,0.746183747456494,1.113281464518842,1.5820047109080086,1.0,Africa,Tropical rainforest,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000001c,1.2575666855481156,0.6915503083510491,1.363313520741105,1.5975437134391752,1.0,North America,Tropical rainforest,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000002e,1.445956231402735,1.0977542885778493,1.488279777547369,1.6600933273522915,1.0,Asia,Tropical rainforest,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000003d,1.654142084556954,1.5526843526000351,1.658189944007816,1.7362524981167227,1.0,Europe,Tropical rainforest,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000044,1.4631677421724334,1.0508148420884134,1.535196149633074,1.6600373305254765,1.0,South America,Tropical rainforest,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000051,1.483736638923325,1.1366972712435393,1.527386490339587,1.6600476361010934,1.0,Oceania,Tropical rainforest,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000a,0.8109042056565613,0.4101527043151947,0.8007945666624082,1.2460624546422587,1.0,Africa,Tropical moist forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000001e,0.8600025029809635,0.44929294866216646,0.7226587075055723,1.4962052959057275,1.0,North America,Tropical moist forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000030,1.0331426876758296,0.6132796781752989,1.0664409376030333,1.4022956613115052,1.0,Asia,Tropical moist forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000046,0.9939692763299605,0.4258206396015835,1.0273546766099195,1.5273227828904308,1.0,South America,Tropical moist forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000053,1.3054593136317751,1.0764195825687584,1.3183202714150923,1.4706636934090922,1.0,Oceania,Tropical moist forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000009,0.45355807210961757,0.16021109270040373,0.4179618354307485,0.9179328216418843,1.0,Africa,Tropical dry forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000001d,0.5199858928206813,0.12113083405461278,0.45698213903387463,1.1211402046113477,1.0,North America,Tropical dry forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000002f,0.7319409578712929,0.4102017105934356,0.6836515270905927,1.2148261200401724,1.0,Asia,Tropical dry forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000045,0.40661636000599477,0.19949425202937016,0.35545220538211864,0.808565050362382,1.0,South America,Tropical dry forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000052,0.6170716161019442,0.17571303863999885,0.6289417167033576,1.0818749598400905,1.0,Oceania,Tropical dry forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000000,0.19733037808872567,0.10536190048555809,0.17573390838070918,0.3789031875286052,1.0,Africa,Tropical shrubland,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000000b,0.5805021107284545,0.4080074670446119,0.5877559591400633,0.7788488963479105,1.0,North America,Tropical shrubland,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000001f,0.3731422299330192,0.1287019514343366,0.3476774996292019,0.6208987060553242,1.0,Asia,Tropical shrubland,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000049,0.26795030535619285,0.197386025157428,0.24017764001287123,0.4667976359487435,1.0,South America,Tropical shrubland,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000056,0.2662661114737911,0.1368103077194068,0.2383354725132672,0.480248378726756,1.0,Oceania,Tropical shrubland,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000004,0.08386365733230344,0.04097953280732857,0.07224056322706673,0.1895129915358624,1.0,Africa,Tropical desert,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000026,0.076260035065791,0.03342992523092375,0.0644691687711402,0.1817247160130878,1.0,Asia,Tropical desert,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000040,0.2376070712849637,0.17481824857468234,0.24119868601096994,0.2959006629506609,1.0,South America,Tropical desert,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000004d,0.10280537621006683,0.04592500916639869,0.10450307866728409,0.16111175953902265,1.0,Oceania,Tropical desert,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000007,0.6922561388861613,0.06690951976210507,0.706975859937713,1.394480460702925,1.0,Africa,Tropical mountain system,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000001b,1.014501017489152,0.4257465002286319,1.0273323784257307,1.527368007919377,1.0,North America,Tropical mountain system,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000002d,1.0109004072904308,0.12892459193339378,1.1289401421388638,1.6288793511744293,1.0,Asia,Tropical mountain system,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000042,0.7380441994478929,0.16031198285358386,0.6445291895780475,1.5898499548140392,1.0,South America,Tropical mountain system,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000004f,1.5438056420038242,1.4161076966828614,1.5488405723269618,1.642579957620421,1.0,Oceania,Tropical mountain system,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000006,0.41439954426397163,0.1126039864766742,0.3866114053973391,0.6910902592631363,1.0,Africa,Subtropical humid forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
